id,target
0,3
1,16
2,11
3,8
4,13
5,4
6,8
7,13
8,12
9,3
10,7
11,18
12,15
13,10
14,12
15,7
16,18
17,19
18,11
19,8
20,7
21,16
22,14
23,5
24,7
25,10
26,0
27,13
28,10
29,9
30,17
31,9
32,11
33,15
34,17
35,7
36,14
37,6
38,12
39,2
40,2
41,9
42,6
43,13
44,3
45,16
46,17
47,3
48,5
49,18
50,11
51,17
52,12
53,8
54,13
55,2
56,15
57,10
58,1
59,10
60,11
61,3
62,2
63,7
64,3
65,10
66,4
67,17
68,6
69,15
70,18
71,10
72,15
73,17
74,3
75,3
76,3
77,15
78,1
79,13
80,8
81,1
82,10
83,14
84,9
85,15
86,16
87,3
88,12
89,11
90,16
91,16
92,8
93,6
94,8
95,4
96,10
97,3
98,16
99,17
100,3
101,2
102,6
103,10
104,5
105,3
106,4
107,5
108,15
109,6
110,3
111,6
112,2
113,1
114,4
115,11
116,18
117,1
118,8
119,8
120,7
121,12
122,2
123,2
124,0
125,18
126,19
127,7
128,6
129,0
130,13
131,8
132,13
133,2
134,2
135,5
136,12
137,13
138,5
139,5
140,7
141,10
142,15
143,6
144,14
145,17
146,16
147,6
148,13
149,14
150,10
151,16
152,11
153,4
154,8
155,5
156,10
157,11
158,5
159,9
160,11
161,16
162,14
163,6
164,7
165,17
166,0
167,15
168,10
169,3
170,17
171,14
172,5
173,3
174,13
175,8
176,11
177,17
178,7
179,5
180,4
181,13
182,15
183,3
184,7
185,17
186,16
187,4
188,2
189,2
190,1
191,2
192,9
193,6
194,1
195,1
196,4
197,13
198,7
199,4
200,14
201,16
202,6
203,13
204,12
205,6
206,17
207,3
208,13
209,14
210,5
211,0
212,13
213,18
214,8
215,3
216,16
217,13
218,0
219,5
220,3
221,6
222,16
223,2
224,1
225,6
226,15
227,17
228,3
229,10
230,1
231,15
232,6
233,17
234,13
235,5
236,11
237,13
238,4
239,15
240,16
241,7
242,5
243,10
244,8
245,17
246,3
247,6
248,8
249,11
250,8
251,9
252,3
253,7
254,15
255,3
256,2
257,4
258,7
259,10
260,19
261,17
262,17
263,18
264,0
265,13
266,16
267,16
268,3
269,0
270,7
271,11
272,10
273,5
274,6
275,2
276,4
277,18
278,16
279,5
280,13
281,4
282,16
283,14
284,10
285,17
286,7
287,1
288,15
289,1
290,4
291,18
292,8
293,3
294,10
295,15
296,17
297,8
298,9
299,15
300,6
301,10
302,5
303,6
304,0
305,19
306,10
307,2
308,14
309,18
310,14
311,0
312,13
313,15
314,3
315,13
316,13
317,1
318,14
319,19
320,13
321,8
322,10
323,4
324,12
325,19
326,5
327,1
328,5
329,4
330,10
331,3
332,14
333,8
334,3
335,4
336,6
337,8
338,4
339,3
340,9
341,5
342,15
343,14
344,11
345,2
346,16
347,18
348,7
349,13
350,8
351,15
352,1
353,15
354,5
355,1
356,8
357,16
358,17
359,2
360,1
361,1
362,1
363,15
364,14
365,2
366,7
367,14
368,13
369,15
370,10
371,12
372,6
373,17
374,17
375,8
376,10
377,17
378,8
379,5
380,4
381,4
382,13
383,4
384,3
385,18
386,2
387,3
388,10
389,2
390,0
391,3
392,12
393,13
394,11
395,11
396,1
397,7
398,9
399,15
400,2
401,15
402,0
403,19
404,10
405,17
406,11
407,2
408,10
409,18
410,1
411,14
412,9
413,2
414,7
415,18
416,1
417,2
418,17
419,1
420,10
421,5
422,11
423,7
424,15
425,7
426,7
427,13
428,9
429,13
430,8
431,2
432,1
433,2
434,12
435,8
436,9
437,9
438,11
439,15
440,7
441,18
442,11
443,4
444,1
445,15
446,15
447,1
448,11
449,6
450,15
451,8
452,5
453,13
454,11
455,3
456,16
457,6
458,18
459,14
460,15
461,7
462,12
463,5
464,6
465,15
466,9
467,16
468,17
469,7
470,4
471,4
472,17
473,10
474,17
475,11
476,1
477,14
478,12
479,3
480,12
481,4
482,9
483,11
484,0
485,6
486,11
487,0
488,9
489,8
490,10
491,6
492,10
493,8
494,10
495,15
496,3
497,9
498,17
499,14
500,16
501,2
502,11
503,2
504,5
505,15
506,13
507,17
508,2
509,1
510,8
511,18
512,15
513,9
514,1
515,13
516,6
517,2
518,7
519,17
520,14
521,13
522,4
523,16
524,12
525,2
526,5
527,15
528,15
529,9
530,3
531,5
532,2
533,4
534,15
535,5
536,5
537,1
538,1
539,4
540,12
541,18
542,3
543,6
544,5
545,7
546,15
547,16
548,16
549,15
550,8
551,16
552,15
553,13
554,3
555,6
556,15
557,7
558,11
559,14
560,15
561,13
562,5
563,15
564,14
565,1
566,9
567,10
568,8
569,8
570,17
571,7
572,8
573,6
574,16
575,11
576,8
577,13
578,6
579,10
580,15
581,1
582,12
583,11
584,12
585,1
586,8
587,4
588,11
589,9
590,0
591,10
592,3
593,5
594,9
595,11
596,7
597,18
598,5
599,6
600,16
601,3
602,10
603,14
604,3
605,11
606,3
607,4
608,9
609,3
610,15
611,6
612,17
613,18
614,14
615,7
616,11
617,10
618,3
619,5
620,15
621,0
622,5
623,13
624,8
625,7
626,18
627,10
628,3
629,8
630,14
631,4
632,5
633,2
634,8
635,11
636,15
637,16
638,2
639,11
640,7
641,14
642,17
643,1
644,4
645,8
646,10
647,9
648,8
649,1
650,3
651,8
652,3
653,5
654,10
655,6
656,12
657,8
658,1
659,5
660,13
661,4
662,9
663,9
664,17
665,4
666,16
667,7
668,10
669,2
670,0
671,6
672,17
673,2
674,17
675,9
676,11
677,9
678,9
679,10
680,2
681,6
682,4
683,14
684,16
685,7
686,18
687,1
688,0
689,9
690,10
691,6
692,13
693,0
694,9
695,1
696,16
697,9
698,1
699,3
700,19
701,2
702,13
703,15
704,18
705,0
706,17
707,8
708,9
709,12
710,6
711,6
712,11
713,3
714,18
715,7
716,5
717,9
718,6
719,12
720,0
721,6
722,0
723,6
